,,,,,,,,
Tuesday,F-310,Parallel & Distributed Comp (BCS-6C),,Digital Logic Design (BCS-2H),,,,
Tuesday,F-311,Software Engineering (BCS-6B),Organization Behavior (BCS-4A),Web Engineering (BSE-6C),Advanced Statistics (BDS-4B),Digital Logic Design (BCS-2K),,
Tuesday,F-312,Modern Politics & Govt (BDS-8A),,Software Engineering (BCS-6A),Software for Mobile Devices (BCS-6A),Parallel & Distributed Comp (BCS-6A),,
Tuesday,C-1,,Marketing Management (BCS-8A),Applied Programming (MCS-1A),Marketing Management (BCS-8B),,,
Tuesday,C-2,,Expository Writing (BCS-2K),,Probability & Statistics (BCS-4K),,,
Tuesday,C-3,Marketing Management (BCS-4A),Digital Logic Design (BCS-2E),Design & Analysis of Algo (BSE-6A),Probability & Statistics (BCS-4A),Probability & Statistics (BCS-4B),Probability & Statistics (BSE-4B),
Tuesday,C-4,Expository Writing (BCS-2F),,,,,Programming Fundamentals (BCS-2A),
Tuesday,C-5,Critical Thinking (BCS-4A),Expository Writing (BCS-2A),,Multivariable Calculus (BCS-2G),,Probability & Statistics (BCS-4J),
Tuesday,C-6,Multivariable Calculus (BCS-2H),Multivariable Calculus (BCS-2C),,,,,
Tuesday,C-7,Multivariable Calculus (BCS-2B),Islamic Studies/Ethics & Holy Quran (BCS-2D),,Multivariable Calculus (BSE-2A),Multivariable Calculus (BSE-2B),,
Tuesday,C-13,International Business (BDS-6A),,,,Psychology (BCS-4A),Foreign Policy of Pakistan (BCS-4A),
Tuesday,C-14,Mass Communication (BCS-8A),Multivariable Calculus (BDS-2A),Intro to Internet of Things (BSE-8A),Digital Logic Design (BDS-2B),Digital Logic Design (BDS-2A),Environmental Studies (BCS-8A),
Tuesday,D-2,Multivariable Calculus (BDS-2B),Principles of Leadership (BCS-4A),Civics and Community Eng (BDS-2A),,,,
Tuesday,D-5,International Relations (BCS-8A),Environmental Studies (BSE-8A),,,,,
Tuesday,English Lab-1,Expository Writing Lab (BCS-2A1),Expository Writing Lab (BCS-2B1),Expository Writing Lab (BCS-2C1),Expository Writing Lab (BCS-2D1),Expository Writing Lab (BSE-2A1),Expository Writing Lab (BCS-2E1),
Tuesday,English Lab-2,Expository Writing Lab (BCS-2A2),Expository Writing Lab (BCS-2B2),Expository Writing Lab (BCS-2C2),Expository Writing Lab (BCS-2D2),Expository Writing Lab (BSE-2A2),Expository Writing Lab (BCS-2E2),
Tuesday,English Lab-3,Expository Writing Lab (BCS-2G1),Expository Writing Lab (BCS-2H1),Expository Writing Lab (BCS-2J1),Expository Writing Lab (BCS-2K1),Expository Writing Lab (BSE-4B1),Expository Writing Lab (BSE-4A1),
Tuesday,English Lab-4,Expository Writing Lab (BCS-2G2),Expository Writing Lab (BCS-2H2),Expository Writing Lab (BCS-2J2),Expository Writing Lab (BCS-2K2),Expository Writing Lab (BSE-4B2),Expository Writing Lab (BSE-4A2),
Tuesday,English Lab-5,Expository Writing Lab (BDS-2A1),Expository Writing Lab (BDS-2B1),,,Expository Writing Lab (BCS-2F1),Expository Writing Lab (BSE-2B1),
Tuesday,English Lab-6,Expository Writing Lab (BDS-2A2),Expository Writing Lab (BDS-2B2),,,Expository Writing Lab (BCS-2F2),Expository Writing Lab (BSE-2B2),
Tuesday,Lab-1,,,,Object Oriented Programming Lab (BCS-2J),,,
Tuesday,Lab-2,,,Operating Systems Lab (BCS-4C),,Data Structures Lab (BCS-4B),,
Tuesday,Lab-3,,,,,,,
Tuesday,Lab-4,,,Operating Systems Lab (BCS-4D),,,,
Tuesday,Lab-6,,,,,,,
Tuesday,Lab-8,,,,,,,
Tuesday,Lab-13,Database Systems Lab (BDS-4B),,Database Systems Lab (BCS-4F),,Operating Systems Lab (BCS-4A),,
Tuesday,Lab-14,,,Database Systems Lab (BCS-4B),,Computer Networks Lab (BSE-6A),,
Tuesday,Lab-15,,,Operating Systems Lab (BCS-4G),,Operating Systems Lab (BCS-4E),,
Tuesday,Lab-16,,,Operating Systems Lab (BCS-4J),,Operating Systems Lab (BCS-4K),,
Tuesday,Physics Lab,,,,,,,
Tuesday,Micro Lab,,,,,,,
Tuesday,Physics Lab,,,,,,,
Tuesday,Physics Lab,Digital Logic Design Lab (BSE-2A1),,Digital Logic Design Lab (BSE-2B1),,,,     Digital Logic Design Lab (BCS-2D1)
Tuesday,Micro Lab,Digital Logic Design Lab (BSE-2A2),,Digital Logic Design Lab (BSE-2B2),,,,Digital Logic Design Lab (BCS-2D2)
,,,,,,,,
Wednesday,Seminar Hall,Probability & Statistics (BCS-4E),Probability & Statistics (BCS-4F),,Software for Mobile Devices (BCS-6B),Multivariable Calculus (BCS-2D),,
Wednesday,F-201,Database Systems (BCS-4B),Database Systems (BCS-4C),Applied Machine Learning (BCS-8C),Applied Machine Learning (BCS-8A),Object Oriented Programming (BCS-2H),,Requirement Engineering (MSP-2A)
Wednesday,F-202,Digital Image Processing (BCS-6A),Compiler Construction (BCS-6C),Digital Image Processing (BCS-6B),Data Mining (BDS-6A),Data Mining (BDS-6B),,Machine Learning for Cyber Security (MCY-2A)
Wednesday,F-203,"Soft Design & Architecture (BSE-4A), (BSE-6A)",Soft Design & Architecture (BSE-4B),Database Systems (BCS-4D),Compiler Construction (BCS-6A),Software Engineering (BCS-6J),Theory of Automata (BCS-6C),
Wednesday,F-204,Object Oriented Programming (BDS-2B),Database Systems (BCS-4K),Object Oriented Programming (BDS-2A),Object Oriented Programming (BCS-2F),Data Science (BCS-8D),Brand Management (BCS-8B),Brand Management (BCS-8A)
